Date,SPY
2015-10-30,174.25994873046875
2015-11-02,176.3216094970703
2015-11-03,176.8328857421875
2015-11-04,176.29649353027344
2015-11-05,176.1204833984375
2015-11-06,176.02830505371094
2015-11-09,174.3856964111328
2015-11-10,174.78793334960938
2015-11-11,174.10076904296875
2015-11-12,171.6703338623047
2015-11-13,169.74270629882812
2015-11-16,172.3240203857422
2015-11-17,172.19833374023438
2015-11-18,174.93043518066406
2015-11-19,174.7796173095703
2015-11-20,175.41653442382812
2015-11-23,175.21543884277344
2015-11-24,175.4500732421875
2015-11-25,175.4249267578125
2015-11-27,175.62608337402344
2015-11-30,174.8969268798828
2015-12-01,176.56466674804688
2015-12-02,174.76280212402344
2015-12-03,172.315673828125
2015-12-04,175.67630004882812
2015-12-07,174.6119842529297
2015-12-08,173.4386749267578
2015-12-09,172.0894012451172
2015-12-10,172.53359985351562
2015-12-11,169.1896514892578
2015-12-14,170.0444793701172
2015-12-15,171.82960510253906
2015-12-16,174.34381103515625
2015-12-17,171.6870574951172
2015-12-18,168.62850952148438
2015-12-21,170.01953125
2015-12-22,171.5623321533203
2015-12-23,173.68687438964844
2015-12-24,173.40016174316406
2015-12-28,173.00396728515625
2015-12-29,174.8502655029297
2015-12-30,173.6109619140625
2015-12-31,171.87428283691406
2016-01-04,169.4715576171875
2016-01-05,169.7582244873047
2016-01-06,167.61679077148438
2016-01-07,163.595458984375
2016-01-08,161.7997283935547
2016-01-11,161.95994567871094
2016-01-12,163.26669311523438
2016-01-13,159.19467163085938
2016-01-14,161.80816650390625
2016-01-15,158.33474731445312
2016-01-19,158.5455322265625
2016-01-20,156.51376342773438
2016-01-21,157.3905487060547
2016-01-22,160.6194305419922
2016-01-25,158.19142150878906
2016-01-26,160.34962463378906
2016-01-27,158.60452270507812
2016-01-28,159.43069458007812
2016-01-29,163.3172607421875
2016-02-01,163.2582244873047
2016-02-02,160.31594848632812
2016-02-03,161.27703857421875
2016-02-04,161.52993774414062
2016-02-05,158.45277404785156
2016-02-08,156.31982421875
2016-02-09,156.32826232910156
2016-02-10,156.19338989257812
2016-02-11,154.16160583496094
2016-02-12,157.33993530273438
2016-02-16,159.99559020996094
2016-02-17,162.60902404785156
2016-02-18,161.94309997558594
2016-02-19,161.8671875
2016-02-22,164.2108612060547
2016-02-23,162.1369171142578
2016-02-24,162.87881469726562
2016-02-25,164.85162353515625
2016-02-26,164.47219848632812
2016-02-29,163.18234252929688
2016-03-01,167.01824951171875
2016-03-02,167.7686004638672
2016-03-03,168.42620849609375
2016-03-04,168.97415161132812
2016-03-07,169.1090087890625
2016-03-08,167.26272583007812
2016-03-09,168.0889434814453
2016-03-10,168.2238006591797
2016-03-11,170.9384765625
2016-03-14,170.71923828125
2016-03-15,170.4411163330078
2016-03-16,171.4274139404297
2016-03-17,172.51499938964844
2016-03-18,173.19288635253906
2016-03-21,173.43865966796875
2016-03-22,173.34544372558594
2016-03-23,172.201416015625
2016-03-24,172.1251678466797
2016-03-28,172.22689819335938
2016-03-29,173.81996154785156
2016-03-30,174.58267211914062
2016-03-31,174.1589813232422
2016-04-01,175.3453369140625
2016-04-04,174.77752685546875
2016-04-05,173.03195190429688
2016-04-06,174.92160034179688
2016-04-07,172.82850646972656
2016-04-08,173.29457092285156
2016-04-11,172.88783264160156
2016-04-12,174.49790954589844
2016-04-13,176.2605743408203
2016-04-14,176.26901245117188
2016-04-15,176.07411193847656
2016-04-18,177.31130981445312
2016-04-19,177.87059020996094
2016-04-20,178.0400848388672
2016-04-21,177.0824737548828
2016-04-22,177.0824737548828
2016-04-25,176.77743530273438
2016-04-26,177.04013061523438
2016-04-27,177.40451049804688
2016-04-28,175.79446411132812
2016-04-29,174.8453826904297
2016-05-02,176.23507690429688
2016-05-03,174.70127868652344
2016-05-04,173.72674560546875
2016-05-05,173.69285583496094
2016-05-06,174.32839965820312
2016-05-09,174.47250366210938
2016-05-10,176.641845703125
2016-05-11,174.9894256591797
2016-05-12,175.04025268554688
2016-05-13,173.5149383544922
2016-05-16,175.2266845703125
2016-05-17,173.59115600585938
2016-05-18,173.6420440673828
2016-05-19,173.04037475585938
2016-05-20,174.13348388671875
2016-05-23,173.89627075195312
2016-05-24,176.15036010742188
2016-05-25,177.34515380859375
2016-05-26,177.39605712890625
2016-05-27,178.15872192382812
2016-05-31,177.8197479248047
2016-06-01,178.18411254882812
2016-06-02,178.72647094726562
2016-06-03,178.192626953125
2016-06-06,179.099365234375
2016-06-07,179.3789520263672
2016-06-08,179.9636993408203
2016-06-09,179.71795654296875
2016-06-10,178.0146942138672
2016-06-13,176.641845703125
2016-06-14,176.2943878173828
2016-06-15,176.0487060546875
2016-06-16,176.5740203857422
2016-06-17,175.91647338867188
2016-06-20,177.04937744140625
2016-06-21,177.5519561767578
2016-06-22,177.2622833251953
2016-06-23,179.5707244873047
2016-06-24,173.1224822998047
2016-06-27,170.02194213867188
2016-06-28,173.0884246826172
2016-06-29,176.03573608398438
2016-06-30,178.4378204345703
2016-07-01,178.8126220703125
