Date,LQD
2016-08-22,87.33094024658203
2016-08-23,87.42964935302734
2016-08-24,87.37326049804688
2016-08-25,87.2886962890625
2016-08-26,87.01363372802734
2016-08-29,87.50724792480469
2016-08-30,87.39447021484375
2016-08-31,87.35916900634766
2016-09-01,87.35916900634766
2016-09-02,87.2036361694336
2016-09-06,87.50762939453125
2016-09-07,87.38741302490234
2016-09-08,86.77240753173828
2016-09-09,86.12200164794922
2016-09-12,86.12906646728516
2016-09-13,85.84624481201172
2016-09-14,85.90283203125
2016-09-15,85.9593734741211
2016-09-16,86.05838012695312
2016-09-19,86.03006744384766
2016-09-20,86.1431655883789
2016-09-21,86.58151245117188
2016-09-22,86.93499755859375
2016-09-23,86.87134552001953
2016-09-26,87.00567626953125
2016-09-27,87.21778869628906
2016-09-28,87.27432250976562
2016-09-29,87.23896789550781
2016-09-30,87.08344268798828
2016-10-03,86.83678436279297
2016-10-04,86.43279266357422
2016-10-05,86.34060668945312
2016-10-06,86.34768676757812
2016-10-07,86.55326080322266
2016-10-10,86.55326080322266
2016-10-11,86.28392028808594
2016-10-12,86.39730072021484
2016-10-13,86.60994720458984
2016-10-14,86.20594024658203
2016-10-17,86.48949432373047
2016-10-18,86.70211791992188
2016-10-19,86.81554412841797
2016-10-20,86.78715515136719
2016-10-21,86.83678436279297
2016-10-24,86.5887222290039
2016-10-25,86.52490997314453
2016-10-26,86.16342163085938
2016-10-27,85.77360534667969
2016-10-28,85.67432403564453
2016-10-31,85.75232696533203
2016-11-01,85.64424896240234
2016-11-02,85.77222442626953
2016-11-03,85.60164642333984
2016-11-04,85.85750579833984
2016-11-07,85.80062866210938
2016-11-08,85.60874938964844
2016-11-09,84.35086059570312
2016-11-10,84.27977752685547
2016-11-11,83.91731262207031
2016-11-14,83.4837875366211
2016-11-15,83.73967742919922
2016-11-16,83.86042785644531
2016-11-17,83.32743835449219
2016-11-18,82.85836791992188
2016-11-21,82.94367980957031
2016-11-22,83.15689086914062
2016-11-23,82.85132598876953
2016-11-25,82.85836791992188
2016-11-28,83.23505401611328
2016-11-29,83.34874725341797
2016-11-30,83.03610229492188
2016-12-01,82.57078552246094
2016-12-02,82.94844818115234
2016-12-05,83.12657928466797
2016-12-06,83.11947631835938
2016-12-07,83.46862030029297
2016-12-08,83.12657928466797
2016-12-09,82.80589294433594
2016-12-12,82.72752380371094
2016-12-13,82.91278839111328
2016-12-14,82.3854751586914
2016-12-15,82.44244384765625
2016-12-16,82.37834167480469
2016-12-19,82.77738189697266
2016-12-20,82.72752380371094
2016-12-21,82.99116516113281
2016-12-22,82.9969253540039
2016-12-23,83.12550354003906
2016-12-27,82.97545623779297
2016-12-28,83.28266906738281
2016-12-29,83.60431671142578
2016-12-30,83.73291015625
2017-01-03,83.8043212890625
2017-01-04,84.09016418457031
2017-01-05,84.54035186767578
2017-01-06,84.0973129272461
2017-01-09,84.26165771484375
2017-01-10,84.211669921875
2017-01-11,84.34027099609375
2017-01-12,84.33312225341797
2017-01-13,84.1616439819336
2017-01-17,84.52603912353516
2017-01-18,83.9687271118164
2017-01-19,83.68289184570312
2017-01-20,83.83291625976562
2017-01-23,84.21880340576172
2017-01-24,83.9687271118164
2017-01-25,83.6471939086914
2017-01-26,83.7472152709961
2017-01-27,83.84722900390625
2017-01-30,83.70433807373047
2017-01-31,83.85435485839844
2017-02-01,83.751220703125
2017-02-02,83.7726821899414
2017-02-03,83.86581420898438
2017-02-06,84.13090515136719
2017-02-07,84.27425384521484
2017-02-08,84.5680160522461
2017-02-09,84.23123168945312
2017-02-10,84.20978546142578
2017-02-13,84.1739501953125
2017-02-14,83.97332763671875
2017-02-15,83.90882110595703
2017-02-16,84.1452865600586
2017-02-17,84.36023712158203
2017-02-21,84.39604949951172
2017-02-22,84.46053314208984
2017-02-23,84.67547607421875
2017-02-24,85.10538482666016
2017-02-27,84.9047622680664
2017-02-28,84.96207427978516
2017-03-01,84.4598617553711
2017-03-02,84.33053588867188
2017-03-03,84.41678619384766
2017-03-06,84.2658920288086
2017-03-07,83.84922790527344
2017-03-08,83.59054565429688
2017-03-09,83.13796997070312
2017-03-10,83.34629821777344
2017-03-13,83.06611633300781
2017-03-14,83.13796997070312
2017-03-15,83.85640716552734
2017-03-16,83.73423767089844
2017-03-17,83.92823791503906
2017-03-20,84.12226867675781
2017-03-21,84.33053588867188
2017-03-22,84.54608154296875
2017-03-23,84.48860168457031
2017-03-24,84.57486724853516
2017-03-27,84.75447845458984
2017-03-28,84.57486724853516
2017-03-29,84.84781646728516
2017-03-30,84.62515258789062
2017-03-31,84.71134185791016
2017-04-03,85.09170532226562
2017-04-04,84.86840057373047
2017-04-05,84.9764175415039
2017-04-06,85.05567169189453
2017-04-07,84.84675598144531
2017-04-10,85.00528717041016
2017-04-11,85.4014663696289
2017-04-12,85.68241119384766
2017-04-13,85.82649230957031
2017-04-17,85.66081237792969
2017-04-18,86.16510009765625
2017-04-19,85.90575408935547
2017-04-20,85.78329467773438
2017-04-21,85.78329467773438
2017-04-24,85.66801452636719
2017-04-25,85.32942962646484
