Date,XLE
2015-07-16,23.703052520751953
2015-07-17,23.41537094116211
2015-07-20,23.105064392089844
2015-07-21,23.11475944519043
2015-07-22,22.92728042602539
2015-07-23,22.907886505126953
2015-07-24,22.468286514282227
2015-07-27,22.145042419433594
2015-07-28,22.77859115600586
2015-07-29,23.08890151977539
2015-07-30,22.92728042602539
2015-07-31,22.426258087158203
2015-08-03,21.954328536987305
2015-08-04,21.87999153137207
2015-08-05,21.715139389038086
2015-08-06,22.061002731323242
2015-08-07,21.666648864746094
2015-08-10,22.35837745666504
2015-08-11,22.400400161743164
2015-08-12,22.807687759399414
2015-08-13,22.461816787719727
2015-08-14,22.413339614868164
2015-08-17,22.461816787719727
2015-08-18,22.377782821655273
2015-08-19,21.76039695739746
2015-08-20,21.26906967163086
2015-08-21,20.525623321533203
2015-08-24,19.42337989807129
2015-08-25,19.142166137695312
2015-08-26,19.80156707763672
2015-08-27,20.780981063842773
2015-08-28,21.252910614013672
2015-08-31,21.47270965576172
2015-09-01,20.716331481933594
2015-09-02,20.907047271728516
2015-09-03,20.965227127075195
2015-09-04,20.61935806274414
2015-09-08,20.942602157592773
2015-09-09,20.548248291015625
2015-09-10,20.6678466796875
2015-09-11,20.483596801757812
2015-09-14,20.305816650390625
2015-09-15,20.532087326049805
2015-09-16,21.113910675048828
2015-09-17,21.100982666015625
2015-09-18,20.546775817871094
2015-09-21,20.664003372192383
2015-09-22,20.445831298828125
2015-09-23,20.182079315185547
2015-09-24,20.27000617980957
2015-09-25,20.309072494506836
2015-09-28,19.498268127441406
