Date,XLF
2016-12-29,19.459918975830078
2016-12-30,19.501863479614258
2017-01-03,19.719938278198242
2017-01-04,19.879310607910156
2017-01-05,19.678001403808594
2017-01-06,19.745105743408203
2017-01-09,19.61090087890625
2017-01-10,19.65283966064453
2017-01-11,19.778657913208008
2017-01-12,19.61090087890625
2017-01-13,19.719938278198242
2017-01-17,19.250219345092773
2017-01-18,19.409589767456055
2017-01-19,19.325708389282227
2017-01-20,19.417972564697266
2017-01-23,19.29216194152832
2017-01-24,19.53540802001953
2017-01-25,19.86253547668457
2017-01-26,19.912860870361328
2017-01-27,19.83737564086914
2017-01-30,19.678001403808594
2017-01-31,19.55217933654785
2017-02-01,19.577348709106445
2017-02-02,19.501863479614258
2017-02-03,19.896085739135742
2017-02-06,19.803815841674805
2017-02-07,19.753488540649414
2017-02-08,19.619291305541992
2017-02-09,19.8876953125
2017-02-10,19.946413040161133
2017-02-13,20.172889709472656
2017-02-14,20.407751083374023
2017-02-15,20.567115783691406
2017-02-16,20.51679039001465
2017-02-17,20.525177001953125
2017-02-21,20.625839233398438
2017-02-22,20.642606735229492
2017-02-23,20.642606735229492
2017-02-24,20.483240127563477
2017-02-27,20.592281341552734
2017-02-28,20.58388900756836
2017-03-01,21.17104721069336
2017-03-02,20.84391975402832
2017-03-03,20.94457244873047
2017-03-06,20.785207748413086
2017-03-07,20.72648811340332
2017-03-08,20.734878540039062
2017-03-09,20.81036949157715
2017-03-10,20.793594360351562
2017-03-13,20.84391975402832
2017-03-14,20.785207748413086
2017-03-15,20.751649856567383
2017-03-16,20.785207748413086
2017-03-17,20.58149528503418
2017-03-20,20.413145065307617
2017-03-21,19.840730667114258
2017-03-22,19.79863739013672
2017-03-23,19.840730667114258
2017-03-24,19.815473556518555
2017-03-27,19.739713668823242
2017-03-28,20.009082794189453
2017-03-29,19.88282012939453
2017-03-30,20.143775939941406
2017-03-31,19.975414276123047
2017-04-03,19.93332862854004
2017-04-04,19.908071517944336
2017-04-05,19.756547927856445
2017-04-06,19.88282012939453
2017-04-07,19.79863739013672
2017-04-10,19.748126983642578
2017-04-11,19.689210891723633
2017-04-12,19.52927017211914
2017-04-13,19.276735305786133
2017-04-17,19.613447189331055
2017-04-18,19.42825698852539
2017-04-19,19.36933135986328
2017-04-20,19.697628021240234
2017-04-21,19.49560546875
2017-04-24,19.93332862854004
2017-04-25,20.110095977783203
2017-04-26,20.093259811401367
2017-04-27,20.00066566467285
2017-04-28,19.80706024169922
2017-05-01,19.93332862854004
2017-05-02,19.908071517944336
2017-05-03,20.068002700805664
2017-05-04,20.101680755615234
2017-05-05,20.068002700805664
2017-05-08,20.051172256469727
2017-05-09,19.975414276123047
2017-05-10,20.042755126953125
2017-05-11,19.916486740112305
2017-05-12,19.83231544494629
2017-05-15,19.983829498291016
2017-05-16,20.042755126953125
2017-05-17,19.411422729492188
2017-05-18,19.48717498779297
2017-05-19,19.655534744262695
2017-05-22,19.706045150756836
2017-05-23,19.857559204101562
2017-05-24,19.84914207458496
2017-05-25,19.88282012939453
2017-05-26,19.874401092529297
2017-05-30,19.739713668823242
2017-05-31,19.571361541748047
2017-06-01,19.815473556518555
2017-06-02,19.739713668823242
2017-06-05,19.77338981628418
2017-06-06,19.689210891723633
2017-06-07,19.840730667114258
2017-06-08,20.068002700805664
2017-06-09,20.446805953979492
2017-06-12,20.48889923095703
2017-06-13,20.59832763671875
2017-06-14,20.632003784179688
2017-06-15,20.54782485961914
2017-06-16,20.525012969970703
2017-06-19,20.736255645751953
2017-06-20,20.55880355834961
2017-06-21,20.389808654785156
2017-06-22,20.263057708740234
2017-06-23,20.187007904052734
2017-06-26,20.29686737060547
2017-06-27,20.39826202392578
2017-06-28,20.7193546295166
2017-06-29,20.863008499145508
2017-06-30,20.846107482910156
2017-07-03,21.150310516357422
2017-07-05,21.184106826782227
2017-07-06,21.023557662963867
2017-07-07,21.167207717895508
2017-07-10,21.141857147216797
2017-07-11,20.955957412719727
2017-07-12,21.023557662963867
2017-07-13,21.150310516357422
2017-07-14,21.057350158691406
2017-07-17,20.989757537841797
2017-07-18,20.955957412719727
2017-07-19,20.964406967163086
2017-07-20,20.955957412719727
2017-07-21,20.955957412719727
2017-07-24,21.048908233642578
2017-07-25,21.310861587524414
2017-07-26,21.167207717895508
2017-07-27,21.048908233642578
2017-07-28,21.048908233642578
2017-07-31,21.201007843017578
2017-08-01,21.35310173034668
2017-08-02,21.38690757751465
2017-08-03,21.310861587524414
2017-08-04,21.45450210571289
2017-08-07,21.42070770263672
2017-08-08,21.361557006835938
2017-08-09,21.361557006835938
2017-08-10,20.981306076049805
2017-08-11,20.896806716918945
2017-08-14,21.184106826782227
2017-08-15,21.201007843017578
2017-08-16,21.15875816345215
2017-08-17,20.795408248901367
2017-08-18,20.803857803344727
2017-08-21,20.744705200195312
2017-08-22,20.972858428955078
2017-08-23,20.90526008605957
2017-08-24,20.90526008605957
2017-08-25,20.964406967163086
2017-08-28,20.829206466674805
