Date,IWM
2017-10-04,134.3994598388672
2017-10-05,134.76719665527344
2017-10-06,134.57884216308594
2017-10-09,134.0227508544922
2017-10-10,134.40846252441406
2017-10-11,134.3097686767578
2017-10-12,134.2111053466797
2017-10-13,133.96896362304688
2017-10-16,133.8523712158203
2017-10-17,133.46670532226562
2017-10-18,134.10350036621094
2017-10-19,133.89720153808594
2017-10-20,134.51605224609375
2017-10-23,133.5115203857422
2017-10-24,133.78958129882812
2017-10-25,133.14382934570312
2017-10-26,133.4218292236328
2017-10-27,134.34561157226562
2017-10-30,132.92857360839844
2017-10-31,133.8702392578125
2017-11-01,132.9823760986328
2017-11-02,133.376953125
2017-11-03,133.287353515625
2017-11-06,133.4397735595703
2017-11-07,131.8433380126953
2017-11-08,132.02268981933594
2017-11-09,131.55628967285156
2017-11-10,131.45765686035156
2017-11-13,131.49351501464844
2017-11-14,131.13482666015625
2017-11-15,130.6145477294922
2017-11-16,132.53392028808594
2017-11-17,133.14382934570312
2017-11-20,134.1124725341797
2017-11-21,135.51158142089844
2017-11-22,135.33226013183594
2017-11-24,135.38604736328125
2017-11-27,134.97344970703125
2017-11-28,137.09915161132812
2017-11-29,137.5564727783203
2017-11-30,137.8076171875
2017-12-01,137.24258422851562
2017-12-04,136.7313690185547
2017-12-05,135.36807250976562
2017-12-06,134.73130798339844
2017-12-07,135.6730499267578
2017-12-08,135.79856872558594
2017-12-11,135.74481201171875
2017-12-12,135.3232879638672
2017-12-13,136.13047790527344
2017-12-14,134.6237030029297
2017-12-15,136.54306030273438
2017-12-18,138.390625
2017-12-19,137.29641723632812
2017-12-20,137.56544494628906
2017-12-21,138.1678009033203
2017-12-22,137.91571044921875
2017-12-26,137.9967498779297
2017-12-27,137.86167907714844
2017-12-28,138.40182495117188
2017-12-29,137.2584686279297
2018-01-02,138.55491638183594
2018-01-03,138.698974609375
2018-01-04,139.06805419921875
2018-01-05,139.3561553955078
2018-01-08,139.57225036621094
2018-01-09,139.38320922851562
2018-01-10,139.4011688232422
2018-01-11,141.79595947265625
2018-01-12,142.39015197753906
2018-01-16,140.57159423828125
2018-01-17,141.90394592285156
2018-01-18,140.93167114257812
2018-01-19,142.78628540039062
2018-01-22,143.55149841308594
2018-01-23,144.01068115234375
2018-01-24,143.11940002441406
2018-01-25,143.17335510253906
2018-01-26,143.6865692138672
2018-01-29,142.8762969970703
2018-01-30,141.50782775878906
2018-01-31,140.7696075439453
2018-02-01,141.2107391357422
2018-02-02,138.49191284179688
2018-02-05,133.17117309570312
2018-02-06,134.7646942138672
2018-02-07,134.89971923828125
2018-02-08,130.9384307861328
2018-02-09,132.13583374023438
2018-02-12,133.3872528076172
2018-02-13,133.6753387451172
2018-02-14,136.07908630371094
2018-02-15,137.5646209716797
2018-02-16,138.05078125
2018-02-20,136.91639709472656
2018-02-21,137.0604248046875
2018-02-22,136.8443603515625
2018-02-23,138.626953125
2018-02-26,139.53622436523438
2018-02-27,137.528564453125
2018-02-28,135.35888671875
2018-03-01,134.99876403808594
2018-03-02,137.1595001220703
2018-03-05,138.3838653564453
2018-03-06,139.87831115722656
