Date,IWM
2015-06-19,110.57923126220703
2015-06-22,111.34030151367188
2015-06-23,111.57379913330078
2015-06-24,110.63113403320312
2015-06-25,110.57057189941406
2015-06-26,110.26786804199219
2015-06-29,107.48311614990234
2015-06-30,107.98470306396484
2015-07-01,108.30467987060547
2015-07-02,107.50479125976562
2015-07-06,107.47001647949219
2015-07-07,107.59164428710938
2015-07-08,105.95013427734375
2015-07-09,106.33229064941406
2015-07-10,107.80876159667969
2015-07-13,109.02468872070312
2015-07-14,109.63262176513672
2015-07-15,109.05073547363281
2015-07-16,109.7021255493164
2015-07-17,109.22442626953125
2015-07-20,108.63384246826172
2015-07-21,108.12142944335938
2015-07-22,108.52093505859375
2015-07-23,107.32239532470703
2015-07-24,105.59402465820312
2015-07-27,104.71682739257812
2015-07-28,105.61140441894531
2015-07-29,105.90673065185547
2015-07-30,106.21070861816406
2015-07-31,106.79258728027344
2015-08-03,106.26280212402344
2015-08-04,106.01093292236328
2015-08-05,106.25411224365234
2015-08-06,104.82108306884766
2015-08-07,104.11759948730469
2015-08-10,105.31613159179688
2015-08-11,104.4128646850586
2015-08-12,104.2131118774414
2015-08-13,103.86568450927734
2015-08-14,104.53447723388672
2015-08-17,105.63745880126953
2015-08-18,104.79499816894531
2015-08-19,103.70935821533203
2015-08-20,101.08642578125
2015-08-21,99.90525817871094
2015-08-24,96.00565338134766
2015-08-25,95.26740264892578
2015-08-26,97.69053649902344
2015-08-27,99.43627166748047
2015-08-28,100.41769409179688
2015-08-31,100.05290985107422
2015-09-01,97.18682098388672
2015-09-02,98.93253326416016
2015-09-03,98.77620697021484
2015-09-04,98.02925872802734
2015-09-08,100.27005767822266
2015-09-09,99.11493682861328
2015-09-10,99.56654357910156
2015-09-11,100.03556823730469
2015-09-14,99.57523345947266
2015-09-15,100.69562530517578
2015-09-16,101.56410217285156
2015-09-17,101.91153717041016
2015-09-18,100.50455474853516
2015-09-21,100.32212829589844
2015-09-22,98.8022689819336
2015-09-23,98.5069580078125
2015-09-24,98.34196472167969
2015-09-25,97.04763793945312
2015-09-28,94.33007049560547
2015-09-29,93.65943908691406
2015-09-30,95.11396026611328
2015-10-01,94.948486328125
2015-10-02,96.35952758789062
2015-10-05,98.65900421142578
2015-10-06,97.9796142578125
2015-10-07,99.71293640136719
2015-10-08,100.61004638671875
2015-10-09,100.81037902832031
2015-10-12,100.66229248046875
2015-10-13,99.2861099243164
2015-10-14,98.31057739257812
2015-10-15,100.66229248046875
2015-10-16,100.53165435791016
2015-10-19,100.72327423095703
2015-10-20,100.58393096923828
2015-10-21,99.05094909667969
2015-10-22,99.92196655273438
2015-10-23,100.90618133544922
2015-10-26,100.21809387207031
2015-10-27,99.12059020996094
2015-10-28,102.01235961914062
2015-10-29,100.92362976074219
2015-10-30,100.46197509765625
2015-11-02,102.5523910522461
2015-11-03,103.08370971679688
2015-11-04,103.03146362304688
