Date,SPY
2021-09-15,418.6024169921875
2021-09-16,417.9388732910156
2021-09-17,413.8676452636719
2021-09-20,406.9667053222656
2021-09-21,406.58233642578125
2021-09-22,410.5484924316406
2021-09-23,415.5366516113281
2021-09-24,416.2210998535156
2021-09-27,415.03045654296875
2021-09-28,406.66668701171875
2021-09-29,407.3511962890625
2021-09-30,402.3724060058594
2021-10-01,407.1542663574219
2021-10-04,401.903564453125
2021-10-05,406.0854187011719
2021-10-06,407.77313232421875
2021-10-07,411.298583984375
2021-10-08,410.5484924316406
2021-10-11,407.5762023925781
2021-10-12,406.5729064941406
2021-10-13,408.0356750488281
2021-10-14,414.8990478515625
2021-10-15,418.0588684082031
2021-10-18,419.2964782714844
2021-10-19,422.53143310546875
2021-10-20,424.19091796875
2021-10-21,425.2972717285156
2021-10-22,424.85662841796875
2021-10-25,427.1350402832031
2021-10-26,427.5194396972656
2021-10-27,425.6255187988281
2021-10-28,429.7322998046875
2021-10-29,430.604248046875
2021-11-01,431.3450622558594
2021-11-02,433.08892822265625
2021-11-03,435.73309326171875
2021-11-04,437.7864990234375
2021-11-05,439.3054504394531
2021-11-08,439.68048095703125
2021-11-09,438.2272033691406
2021-11-10,434.7016906738281
2021-11-11,434.8423156738281
2021-11-12,438.12396240234375
2021-11-15,438.2740783691406
2021-11-16,440.0086364746094
2021-11-17,438.93975830078125
2021-11-18,440.43060302734375
2021-11-19,439.64300537109375
2021-11-22,438.4053039550781
2021-11-23,438.9866638183594
2021-11-24,440.15863037109375
2021-11-26,430.3417053222656
2021-11-29,435.6205749511719
2021-11-30,427.1444396972656
2021-12-01,422.4000244140625
2021-12-02,428.8697509765625
2021-12-03,425.137939453125
2021-12-06,430.1729431152344
2021-12-07,439.0710144042969
2021-12-08,440.23370361328125
2021-12-09,437.26141357421875
2021-12-10,441.3776550292969
2021-12-13,437.4676818847656
2021-12-14,434.45794677734375
2021-12-15,441.2463684082031
2021-12-16,437.35516357421875
2021-12-17,432.700439453125
2021-12-20,428.0993347167969
2021-12-21,435.7019348144531
2021-12-22,440.0584716796875
2021-12-23,442.7965087890625
2021-12-27,449.0630798339844
2021-12-28,448.6960754394531
2021-12-29,449.2700500488281
2021-12-30,448.02801513671875
2021-12-31,446.89886474609375
2022-01-03,449.4864196777344
2022-01-04,449.33587646484375
2022-01-05,440.7076721191406
2022-01-06,440.2937316894531
2022-01-07,438.55291748046875
2022-01-10,438.00726318359375
2022-01-11,441.9967041015625
2022-01-12,443.1916809082031
2022-01-13,437.0851745605469
2022-01-14,437.2639465332031
2022-01-18,429.52008056640625
2022-01-19,425.0601806640625
2022-01-20,420.3556213378906
2022-01-21,412.103759765625
2022-01-24,413.8538513183594
2022-01-25,408.8011169433594
2022-01-26,407.7755432128906
2022-01-27,405.7619934082031
2022-01-28,415.8392333984375
2022-01-31,423.32891845703125
2022-02-01,426.18927001953125
2022-02-02,430.32940673828125
2022-02-03,420.2145080566406
2022-02-04,422.1904296875
2022-02-07,420.83551025390625
2022-02-08,424.2979736328125
2022-02-09,430.5081481933594
2022-02-10,422.7737731933594
2022-02-11,414.43719482421875
2022-02-14,413.0822448730469
2022-02-15,419.7440490722656
2022-02-16,420.2145080566406
2022-02-17,411.238037109375
2022-02-18,408.5753173828125
2022-02-22,404.19061279296875
2022-02-23,397.0208740234375
2022-02-24,402.9956970214844
2022-02-25,411.88739013671875
2022-02-28,410.83349609375
2022-03-01,404.576416015625
2022-03-02,412.01910400390625
2022-03-03,409.9678039550781
2022-03-04,406.63702392578125
2022-03-07,394.649658203125
2022-03-08,391.65753173828125
2022-03-09,402.1582336425781
2022-03-10,400.34228515625
2022-03-11,395.25189208984375
2022-03-14,392.3632507324219
2022-03-15,400.9914855957031
2022-03-16,409.8832092285156
2022-03-17,415.0111389160156
2022-03-18,419.5567321777344
2022-03-21,419.4340515136719
2022-03-22,424.3420104980469
2022-03-23,418.8771057128906
2022-03-24,425.19140625
2022-03-25,427.26788330078125
2022-03-28,430.3070983886719
2022-03-29,435.63037109375
2022-03-30,432.9404602050781
2022-03-31,426.27691650390625
2022-04-01,427.4849853515625
2022-04-04,431.14703369140625
2022-04-05,425.7011413574219
2022-04-06,421.44439697265625
2022-04-07,423.5680236816406
2022-04-08,422.4353942871094
2022-04-11,415.21502685546875
2022-04-12,413.6765441894531
2022-04-13,418.41461181640625
2022-04-14,413.2047119140625
2022-04-18,413.37457275390625
2022-04-19,420.0474548339844
2022-04-20,419.7360534667969
2022-04-21,413.45953369140625
2022-04-22,402.1145324707031
2022-04-25,404.44580078125
2022-04-26,392.73272705078125
2022-04-27,393.8370056152344
2022-04-28,403.7851257324219
2022-04-29,388.8629455566406
2022-05-02,391.2037353515625
2022-05-03,392.9969787597656
2022-05-04,404.96490478515625
2022-05-05,390.5713195800781
2022-05-06,388.239990234375
2022-05-09,375.80963134765625
2022-05-10,376.6778869628906
2022-05-11,370.69403076171875
2022-05-12,370.3070373535156
2022-05-13,379.1602478027344
2022-05-16,377.6217956542969
2022-05-17,385.38958740234375
2022-05-18,369.85394287109375
2022-05-19,367.5887451171875
2022-05-20,367.7492370605469
2022-05-23,374.62982177734375
2022-05-24,371.77001953125
2022-05-25,375.0545654296875
2022-05-26,382.5487060546875
2022-05-27,391.9399108886719
2022-05-31,389.74072265625
2022-06-01,386.5882263183594
2022-06-02,393.9502868652344
2022-06-03,387.4849853515625
2022-06-06,388.66485595703125
2022-06-07,392.39288330078125
2022-06-08,388.12677001953125
2022-06-09,378.89599609375
2022-06-10,367.90960693359375
2022-06-13,353.9408264160156
2022-06-14,352.8742980957031
2022-06-15,357.90496826171875
2022-06-16,346.0596923828125
2022-06-17,346.8058166503906
2022-06-21,355.5361022949219
2022-06-22,354.89154052734375
2022-06-23,358.3703918457031
2022-06-24,369.76434326171875
2022-06-27,368.3519592285156
