Date,QQQ
2015-05-08,100.07275390625
2015-05-11,99.68604278564453
2015-05-12,99.23490142822266
2015-05-13,99.43745422363281
2015-05-14,100.89219665527344
2015-05-15,100.89219665527344
2015-05-18,101.3341293334961
2015-05-19,101.22364807128906
2015-05-20,101.28809356689453
2015-05-21,101.81289672851562
2015-05-22,101.71160125732422
2015-05-26,100.54228973388672
2015-05-27,102.16278839111328
2015-05-28,101.93258666992188
2015-05-29,101.32492065429688
2015-06-01,101.66559600830078
2015-06-02,101.34331512451172
2015-06-03,101.64717102050781
2015-06-04,100.87377166748047
2015-06-05,100.6343765258789
2015-06-08,99.6124038696289
2015-06-09,99.44666290283203
2015-06-10,100.80933380126953
2015-06-11,100.95662689208984
2015-06-12,100.12798309326172
2015-06-15,99.63082122802734
2015-06-16,100.17402648925781
2015-06-17,100.45023345947266
2015-06-18,101.91417694091797
2015-06-19,101.41031646728516
2015-06-22,102.15780639648438
2015-06-23,102.24085998535156
2015-06-24,101.71484375
2015-06-25,101.51182556152344
2015-06-26,100.83814239501953
2015-06-29,98.457275390625
2015-06-30,98.80793762207031
2015-07-01,99.59233093261719
2015-07-02,99.62002563476562
2015-07-06,99.38929748535156
2015-07-07,99.63847351074219
2015-07-08,97.9035415649414
2015-07-09,97.84815216064453
2015-07-10,99.34317016601562
2015-07-13,101.08733367919922
2015-07-14,101.75177001953125
2015-07-15,101.86251068115234
2015-07-16,103.30213928222656
2015-07-17,104.8248062133789
2015-07-20,105.18470764160156
2015-07-21,105.12012481689453
2015-07-22,103.92967987060547
2015-07-23,103.54209899902344
2015-07-24,102.52694702148438
2015-07-27,101.67794799804688
2015-07-28,102.55464172363281
2015-07-29,102.9422378540039
2015-07-30,103.43132019042969
2015-07-31,103.31136322021484
2015-08-03,102.98837280273438
2015-08-04,102.79456329345703
2015-08-05,103.58821105957031
2015-08-06,101.92711639404297
2015-08-07,101.79790496826172
2015-08-10,102.96068572998047
2015-08-11,101.6409912109375
2015-08-12,101.99169921875
2015-08-13,101.82559204101562
2015-08-14,101.98246765136719
2015-08-17,102.83148956298828
2015-08-18,102.30545806884766
2015-08-19,101.6318130493164
2015-08-20,98.81717681884766
2015-08-21,94.49829864501953
2015-08-24,90.86231994628906
2015-08-25,90.52085876464844
2015-08-26,95.07967376708984
2015-08-27,97.48827362060547
2015-08-28,97.4698257446289
2015-08-31,96.26087188720703
2015-09-01,93.25247192382812
2015-09-02,95.8825454711914
2015-09-03,95.41188049316406
2015-09-04,94.27681732177734
2015-09-08,96.93455505371094
2015-09-09,95.84565734863281
2015-09-10,96.88843536376953
2015-09-11,97.42367553710938
2015-09-14,97.12838745117188
2015-09-15,98.27269744873047
2015-09-16,98.82637786865234
2015-09-17,98.86329650878906
2015-09-18,97.4571762084961
2015-09-21,97.76243591308594
2015-09-22,96.30083465576172
2015-09-23,96.37483215332031
2015-09-24,96.02330017089844
2015-09-25,95.209228515625
2015-09-28,92.49874877929688
2015-09-29,92.0176773071289
2015-09-30,94.1361312866211
2015-10-01,94.56167602539062
2015-10-02,96.21757507324219
2015-10-05,97.5959243774414
2015-10-06,97.13337707519531
2015-10-07,97.71619415283203
2015-10-08,98.10472869873047
2015-10-09,98.54875183105469
2015-10-12,98.789306640625
2015-10-13,98.1510009765625
2015-10-14,97.99370574951172
2015-10-15,99.60334777832031
2015-10-16,100.0196762084961
2015-10-19,100.59318542480469
2015-10-20,100.07514953613281
2015-10-21,99.4645767211914
2015-10-22,101.49051666259766
2015-10-23,104.33051300048828
2015-10-26,104.3952865600586
2015-10-27,104.60804748535156
2015-10-28,105.47760009765625
2015-10-29,105.31108856201172
2015-10-30,104.83929443359375
2015-11-02,106.02339935302734
2015-11-03,106.39344024658203
2015-11-04,106.4026870727539
